#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.803198E-01   0.345372E+07   0.344075E+07  -0.131121E+02  -0.131121E+02   0.362362E+06   0.343872E+07   0.345168E+07   0.343872E+07  -0.820524E-01   0.181535E+07   0.181527E+07   0.306769E+00
   0.830690E-01   0.330781E+07   0.329417E+07  -0.117409E+02  -0.117410E+02   0.332020E+06   0.329319E+07   0.330567E+07   0.329319E+07  -0.785799E-01   0.173854E+07   0.173845E+07   0.332865E+00
   0.858182E-01   0.316624E+07   0.315185E+07  -0.105301E+02  -0.105301E+02   0.304358E+06   0.315198E+07   0.316398E+07   0.315198E+07  -0.752104E-01   0.166400E+07   0.166391E+07   0.358155E+00
   0.885674E-01   0.303060E+07   0.301547E+07  -0.946301E+01  -0.946304E+01   0.279269E+06   0.301669E+07   0.302822E+07   0.301669E+07  -0.719822E-01   0.159260E+07   0.159250E+07   0.379055E+00
   0.913165E-01   0.290223E+07   0.288648E+07  -0.852477E+01  -0.852480E+01   0.256618E+06   0.288867E+07   0.289976E+07   0.288867E+07  -0.689274E-01   0.152503E+07   0.152492E+07   0.393007E+00
   0.940657E-01   0.278221E+07   0.276602E+07  -0.770155E+01  -0.770157E+01   0.236268E+06   0.276899E+07   0.277966E+07   0.276899E+07  -0.660718E-01   0.146186E+07   0.146174E+07   0.398476E+00
   0.968149E-01   0.267136E+07   0.265497E+07  -0.698079E+01  -0.698081E+01   0.218066E+06   0.265850E+07   0.266879E+07   0.265850E+07  -0.634354E-01   0.140354E+07   0.140342E+07   0.394884E+00
   0.995641E-01   0.257028E+07   0.255395E+07  -0.635097E+01  -0.635098E+01   0.201856E+06   0.255778E+07   0.256771E+07   0.255778E+07  -0.610321E-01   0.135037E+07   0.135026E+07   0.382488E+00
   0.102313E+00   0.247922E+07   0.246322E+07  -0.580138E+01  -0.580139E+01   0.187472E+06   0.246710E+07   0.247671E+07   0.246710E+07  -0.588683E-01   0.130251E+07   0.130239E+07   0.362237E+00
   0.105062E+00   0.239806E+07   0.238265E+07  -0.532189E+01  -0.532191E+01   0.174734E+06   0.238632E+07   0.239564E+07   0.238632E+07  -0.569408E-01   0.125987E+07   0.125976E+07   0.335595E+00
   0.107812E+00   0.232625E+07   0.231162E+07  -0.490289E+01  -0.490290E+01   0.163454E+06   0.231489E+07   0.232395E+07   0.231489E+07  -0.552363E-01   0.122216E+07   0.122206E+07   0.304362E+00
   0.110561E+00   0.226284E+07   0.224916E+07  -0.453532E+01  -0.453533E+01   0.153435E+06   0.225184E+07   0.226069E+07   0.225184E+07  -0.537320E-01   0.118888E+07   0.118879E+07   0.270494E+00
   0.113310E+00   0.220656E+07   0.219394E+07  -0.421088E+01  -0.421089E+01   0.144484E+06   0.219594E+07   0.220458E+07   0.219594E+07  -0.523979E-01   0.115937E+07   0.115929E+07   0.235939E+00
   0.116059E+00   0.215600E+07   0.214448E+07  -0.392211E+01  -0.392212E+01   0.136416E+06   0.214572E+07   0.215419E+07   0.214572E+07  -0.511998E-01   0.113286E+07   0.113279E+07   0.202495E+00
   0.118808E+00   0.210964E+07   0.209919E+07  -0.366253E+01  -0.366255E+01   0.129065E+06   0.209970E+07   0.210800E+07   0.209970E+07  -0.501015E-01   0.110856E+07   0.110850E+07   0.171699E+00
   0.121558E+00   0.206599E+07   0.205654E+07  -0.342663E+01  -0.342664E+01   0.122285E+06   0.205635E+07   0.206450E+07   0.205635E+07  -0.490673E-01   0.108568E+07   0.108563E+07   0.144753E+00
   0.124307E+00   0.202365E+07   0.201508E+07  -0.320983E+01  -0.320984E+01   0.115951E+06   0.201430E+07   0.202230E+07   0.201430E+07  -0.480639E-01   0.106349E+07   0.106344E+07   0.122478E+00
   0.127056E+00   0.198142E+07   0.197358E+07  -0.300851E+01  -0.300852E+01   0.109962E+06   0.197234E+07   0.198018E+07   0.197234E+07  -0.470626E-01   0.104133E+07   0.104129E+07   0.105303E+00
   0.129805E+00   0.193837E+07   0.193109E+07  -0.281997E+01  -0.281997E+01   0.104246E+06   0.192954E+07   0.193723E+07   0.192954E+07  -0.460413E-01   0.101874E+07   0.101870E+07   0.932814E-01
   0.132554E+00   0.189395E+07   0.188703E+07  -0.264234E+01  -0.264235E+01   0.987570E+05   0.188533E+07   0.189286E+07   0.188533E+07  -0.449865E-01   0.995404E+06   0.995369E+06   0.861311E-01
   0.135304E+00   0.184794E+07   0.184122E+07  -0.247452E+01  -0.247453E+01   0.934705E+05   0.183953E+07   0.184688E+07   0.183953E+07  -0.438935E-01   0.971223E+06   0.971190E+06   0.832913E-01
   0.138053E+00   0.180050E+07   0.179382E+07  -0.231597E+01  -0.231598E+01   0.883835E+05   0.179227E+07   0.179945E+07   0.179227E+07  -0.427660E-01   0.946278E+06   0.946243E+06   0.839945E-01
   0.140802E+00   0.175204E+07   0.174526E+07  -0.216649E+01  -0.216650E+01   0.835043E+05   0.174397E+07   0.175097E+07   0.174397E+07  -0.416135E-01   0.920781E+06   0.920744E+06   0.873446E-01
   0.143551E+00   0.170309E+07   0.169612E+07  -0.202606E+01  -0.202607E+01   0.788467E+05   0.169518E+07   0.170199E+07   0.169518E+07  -0.404493E-01   0.895023E+06   0.894983E+06   0.923946E-01
   0.146300E+00   0.165426E+07   0.164703E+07  -0.189468E+01  -0.189468E+01   0.744246E+05   0.164649E+07   0.165312E+07   0.164649E+07  -0.392876E-01   0.869321E+06   0.869278E+06   0.982181E-01
   0.149049E+00   0.160613E+07   0.159862E+07  -0.177229E+01  -0.177229E+01   0.702497E+05   0.159851E+07   0.160495E+07   0.159851E+07  -0.381426E-01   0.843989E+06   0.843942E+06   0.103970E+00
