#           k/h    P           
   0.529665E+02   0.376361E-03
   0.540365E+02   0.356370E-03
   0.551281E+02   0.337433E-03
   0.562417E+02   0.319493E-03
   0.573779E+02   0.302500E-03
   0.585370E+02   0.286402E-03
   0.597195E+02   0.271155E-03
   0.609260E+02   0.256712E-03
   0.621568E+02   0.243032E-03
   0.634124E+02   0.230074E-03
   0.646934E+02   0.217802E-03
   0.660003E+02   0.206178E-03
   0.673336E+02   0.195170E-03
   0.686938E+02   0.184744E-03
   0.700816E+02   0.174870E-03
   0.714973E+02   0.165519E-03
   0.729416E+02   0.156663E-03
   0.744151E+02   0.148277E-03
   0.759184E+02   0.140336E-03
   0.774521E+02   0.132816E-03
   0.790167E+02   0.125695E-03
   0.806129E+02   0.118952E-03
   0.822415E+02   0.112567E-03
   0.839028E+02   0.106522E-03
   0.855978E+02   0.100798E-03
   0.873269E+02   0.953785E-04
   0.890911E+02   0.902474E-04
   0.908908E+02   0.853895E-04
   0.927270E+02   0.807903E-04
   0.946001E+02   0.764361E-04
   0.965112E+02   0.723140E-04
   0.984608E+02   0.684116E-04
   0.100450E+03   0.647175E-04
   0.102479E+03   0.612205E-04
   0.104549E+03   0.579103E-04
   0.106661E+03   0.547769E-04
   0.108816E+03   0.518110E-04
   0.111014E+03   0.490036E-04
   0.113257E+03   0.463465E-04
   0.115545E+03   0.438315E-04
   0.117879E+03   0.414512E-04
   0.120260E+03   0.391984E-04
   0.122690E+03   0.370664E-04
   0.125168E+03   0.350486E-04
   0.127697E+03   0.331392E-04
   0.130277E+03   0.313322E-04
   0.132908E+03   0.296222E-04
   0.135593E+03   0.280042E-04
   0.138332E+03   0.264731E-04
   0.141127E+03   0.250244E-04
   0.143978E+03   0.236537E-04
   0.146886E+03   0.223568E-04
   0.149854E+03   0.211298E-04
   0.152881E+03   0.199689E-04
   0.155969E+03   0.188706E-04
   0.159120E+03   0.178316E-04
   0.162334E+03   0.168488E-04
   0.165614E+03   0.159190E-04
   0.168960E+03   0.150396E-04
   0.172373E+03   0.142077E-04
   0.175855E+03   0.134210E-04
   0.179407E+03   0.126768E-04
   0.183032E+03   0.119730E-04
   0.186729E+03   0.113074E-04
   0.190501E+03   0.106780E-04
   0.194350E+03   0.100828E-04
   0.198276E+03   0.951992E-05
   0.202281E+03   0.898773E-05
   0.206368E+03   0.848455E-05
   0.210536E+03   0.800882E-05
   0.214790E+03   0.755907E-05
   0.219129E+03   0.713390E-05
   0.223555E+03   0.673199E-05
   0.228071E+03   0.635209E-05
   0.232679E+03   0.599302E-05
   0.237379E+03   0.565366E-05
   0.242175E+03   0.533294E-05
   0.247067E+03   0.502987E-05
   0.252058E+03   0.474348E-05
   0.257150E+03   0.447289E-05
   0.262345E+03   0.421725E-05
   0.267644E+03   0.397574E-05
