#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.693230E-01   0.154634E+07   0.153305E+07   0.697824E+02   0.697819E+02   0.945560E+05   0.153816E+07   0.154425E+07   0.153816E+07  -0.121119E+00   0.149117E+07   0.149098E+07   0.976952E+00
   0.720722E-01   0.148936E+07   0.147685E+07   0.621812E+02   0.621808E+02   0.859546E+05   0.148151E+07   0.148739E+07   0.148151E+07  -0.116658E+00   0.143626E+07   0.143607E+07   0.900780E+00
   0.748214E-01   0.143236E+07   0.142014E+07   0.554850E+02   0.554846E+02   0.781460E+05   0.142477E+07   0.143044E+07   0.142477E+07  -0.112190E+00   0.138126E+07   0.138107E+07   0.894816E+00
   0.775706E-01   0.137538E+07   0.136302E+07   0.495629E+02   0.495625E+02   0.710469E+05   0.136797E+07   0.137344E+07   0.136797E+07  -0.107717E+00   0.132621E+07   0.132600E+07   0.938517E+00
   0.803198E-01   0.131878E+07   0.130599E+07   0.443193E+02   0.443190E+02   0.645964E+05   0.131151E+07   0.131677E+07   0.131151E+07  -0.103272E+00   0.127149E+07   0.127126E+07   0.101228E+01
   0.830690E-01   0.126319E+07   0.124975E+07   0.396805E+02   0.396803E+02   0.587498E+05   0.125603E+07   0.126108E+07   0.125603E+07  -0.989029E-01   0.121771E+07   0.121745E+07   0.109839E+01
   0.858182E-01   0.120926E+07   0.119509E+07   0.355844E+02   0.355841E+02   0.534735E+05   0.120219E+07   0.120703E+07   0.120219E+07  -0.946633E-01   0.116553E+07   0.116524E+07   0.118186E+01
   0.885674E-01   0.115759E+07   0.114271E+07   0.319753E+02   0.319750E+02   0.487326E+05   0.115060E+07   0.115525E+07   0.115060E+07  -0.906014E-01   0.111553E+07   0.111521E+07   0.125083E+01
   0.913165E-01   0.110868E+07   0.109319E+07   0.288022E+02   0.288020E+02   0.444850E+05   0.110179E+07   0.110625E+07   0.110179E+07  -0.867576E-01   0.106821E+07   0.106787E+07   0.129687E+01
   0.940657E-01   0.106293E+07   0.104703E+07   0.260186E+02   0.260184E+02   0.406978E+05   0.105615E+07   0.106044E+07   0.105615E+07  -0.831643E-01   0.102398E+07   0.102362E+07   0.131492E+01
